"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.951576793439357,0.953765163237704,1.0108575497085,0.960685583649343,0,0.0735965502632136,0.207848897047829,0.233201432863902,0.220165129873937
"2",0.951576793439357,0.953765163237704,0.979244055836273,0.953461437995312,0,0.0735965502632136,0.207848897047829,0.198044453803975,0.21504302962844
"3",0.951576793439357,0.953765163237704,0.894482826751142,0.873371528951832,0,0.0735965502632136,0.207848897047829,0.212059410479846,0.229754472559538
"4",0.951576793439357,0.953765163237704,0.560646312382237,0.559657552051633,0,0.0735965502632136,0.207848897047829,0.113307238008573,0.132362229311976
"5",0.951576793439357,0.953765163237704,0.376905831609052,0.368298467406718,0,0.0735965502632136,0.207848897047829,0.065064924033143,0.0745030706286247
"6",0.951576793439357,0.953765163237704,0.301836527709726,0.290115034554606,0,0.0735965502632136,0.207848897047829,0.039272686204104,0.0464086238738888
"7",0.951576793439357,0.953765163237704,0.290907550302191,0.27231575937745,0,0.0735965502632136,0.207848897047829,0.0368196882888124,0.040925696412248
"8",0.951576793439357,0.953765163237704,0.288391831393589,0.270079831755697,0,0.0735965502632136,0.207848897047829,0.0375153258959094,0.0435738911198394
"9",0.951576793439357,0.953765163237704,0.28809604823089,0.270860434947379,0,0.0735965502632136,0.207848897047829,0.0388944692626012,0.0430407295555241
"10",0.951576793439357,0.953765163237704,0.289606082298044,0.267055636071486,0,0.0735965502632136,0.207848897047829,0.0384963373299621,0.0432567775424017
"11",0.951576793439357,0.953765163237704,0.288674737983303,0.266989480274105,0,0.0735965502632136,0.207848897047829,0.037452500434376,0.0408054389444609
"12",0.951576793439357,0.953765163237704,0.288412941519455,0.2644809858538,0,0.0735965502632136,0.207848897047829,0.036097197229846,0.03978999599246
