,V1,V2
1,0.084667775,0.070379199
2,0.074597799,0.062018447
3,0.067343822,0.054906608
4,0.061985304,0.050412023
5,0.057685684,0.047078699
6,0.054148253,0.043176236
7,0.050315232,0.040688598
8,0.048444279,0.038583994
