"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.790202716290476,0.767747935708622,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.049017944251582,0.0537127702074267
"2",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.789522065210722,0.768803562018696,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.047620328953309,0.0534867351765564
"3",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.789865673967317,0.767338041732659,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0496820179582509,0.0526931336648077
"4",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.786710700549089,0.770882820488924,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0469036101350345,0.0559742237800612
"5",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.792554961117767,0.771849347735675,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0475498455710047,0.053806633853291
"6",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.792168414488423,0.773838741203674,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0491706699730326,0.0563822888352678
"7",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.793352061016551,0.774175410435126,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0510523332538245,0.0557188215874116
"8",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.790964681910942,0.77770939495232,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0486720701948782,0.0599103369282441
"9",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.7895715659673,0.775904388694334,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0463329960027357,0.05238112378819
"10",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.790527102713705,0.774317150299612,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0479664861667428,0.055665055525625
"11",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.794960949729745,0.773456215003767,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0496093076348912,0.0534822081479776
"12",0.783562881896741,0.765094216930742,0.783562881896741,0.765094216930742,0.787995501337833,0.771528016094739,0,0.0475598306859274,0.0535122498192739,0.0475598306859274,0.0535122498192739,0.0471410424536693,0.0522929302891874
