"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.874344692535481,0.878712899197963,0.950630935342255,0.900372033344393,0,0.1079938154941,0.195633834527678,0.221550934430385,0.258985690660978
"2",0.874344692535481,0.878712899197963,0.870932582229632,0.859814598981359,0,0.1079938154941,0.195633834527678,0.186690303769773,0.21176499438391
"3",0.874344692535481,0.878712899197963,0.738504300225861,0.747902545240193,0,0.1079938154941,0.195633834527678,0.163181210549653,0.214761390434387
"4",0.874344692535481,0.878712899197963,0.54218609091091,0.536697122856249,0,0.1079938154941,0.195633834527678,0.081415565086974,0.150492531471166
"5",0.874344692535481,0.878712899197963,0.501372418017137,0.480126117803608,0,0.1079938154941,0.195633834527678,0.0647621332100156,0.120144776673713
"6",0.874344692535481,0.878712899197963,0.494475172421264,0.468547485624758,0,0.1079938154941,0.195633834527678,0.0646855932213641,0.117679861201707
"7",0.874344692535481,0.878712899197963,0.491853607978601,0.456796595966683,0,0.1079938154941,0.195633834527678,0.0633097692011814,0.0828778035685606
"8",0.874344692535481,0.878712899197963,0.486672131691186,0.470797984184468,0,0.1079938154941,0.195633834527678,0.0600704870874021,0.124833267305791
"9",0.874344692535481,0.878712899197963,0.489878361665109,0.452991286050036,0,0.1079938154941,0.195633834527678,0.0613025553144875,0.0771598105627744
"10",0.874344692535481,0.878712899197963,0.489254286772091,0.466258889694152,0,0.1079938154941,0.195633834527678,0.0611164819030718,0.120933344383453
"11",0.874344692535481,0.878712899197963,0.487873240298508,0.466447791965617,0,0.1079938154941,0.195633834527678,0.060763036178404,0.122208822987578
"12",0.874344692535481,0.878712899197963,0.486939554998776,0.452987950368737,0,0.1079938154941,0.195633834527678,0.0594780364804433,0.0767234042390494
