"","V1","V2","V3","V4"
"1",1.3986523807107,1.39161873000127,1.68019145414398,1.37096525908921
"2",1.45703732633382,1.3905564249881,1.97808833476626,1.26642934400122
"3",1.43811124348785,1.34768480732641,1.85637238859026,1.30886423497
"4",1.41236763599242,1.40155068618014,2.0258933891539,1.24825731777075
"5",1.47409281085787,1.32925505088908,1.69157656734908,1.37656942011258
"6",1.37107918954426,1.30896828564952,1.56364862101306,1.27616480050829
"7",1.43966707823038,1.40748536299012,2.11589699254702,1.34149732760876
"8",1.61660207602565,1.49507364098838,1.83643513446207,1.4394771707411
"9",1.45828888694296,1.27230147105592,2.0223718405087,1.2502950312962
"10",1.23238192665469,1.30865601941218,1.43199190623096,1.27644001392021
"11",1.36728801761456,1.3764586017483,1.60782569662372,1.25373551559648
"12",1.55498030050202,1.43530501589451,1.77642168834705,1.40194323523659
"13",1.53152413448822,1.58139929192651,1.92336920519043,1.34352740373332
"14",1.37631765725846,1.37396884330233,1.67449225314358,1.30065945407341
"15",1.44612387776299,1.39632821907508,1.61512618603294,1.21089019076864
"16",1.51712656761458,1.42332826752757,1.64577586279786,1.30861736718695
"17",1.25083273622858,1.2132632272014,1.53554929679288,1.28171082468392
"18",1.47084845552813,1.39503562227773,1.87564445074625,1.35929268266847
"19",1.35771620280159,1.30020155486799,1.76141198535329,1.25198084142962
"20",1.44601262417131,1.34795407964531,1.90490405617713,1.34030806622937
"21",1.46525937167777,1.68280851920336,2.17042416206075,1.60623476701442
"22",1.38278550732263,1.42274221370263,2.16936933784333,1.48165059209913
"23",1.3679533525239,1.33677796461942,2.05424597568826,1.2849683495288
"24",1.37308760299959,1.35792145647347,1.64277984476049,1.18592042834373
"25",1.31015143655968,1.26090248313712,2.22820152243215,1.28948904125586
"26",1.29040058688527,1.29887830071011,1.77319925361573,1.26121284159906
"27",1.39349658792663,1.28846089966242,1.89518057337803,1.29168153993688
"28",1.48657268196548,1.46699184662531,2.02462925566561,1.3549972456904
"29",1.50487885114339,1.29564411213351,1.88433136377294,1.25666669645544
"30",1.34033455507347,1.3749881278474,1.74743332421507,1.33775180292138
"31",1.33725841857454,1.30806985542272,1.52831519002416,1.25462290398092
"32",1.5772111420212,1.55560149501348,1.73323393381917,1.60516399249538
"33",1.51046448429486,1.36242769565399,1.9718552837766,1.27330355835099
"34",1.34120232021104,1.30845862246643,1.55144909223635,1.12225571695886
"35",1.48606888592539,1.31191505927977,1.86623345218078,1.26640461029046
"36",1.3434011035688,1.33262619204094,1.82800208326269,1.13780960565012
"37",1.3545677592062,1.24247065264126,1.60037538592937,1.22259440529396
"38",1.32481453802496,1.34846214896114,1.6734705325406,1.3243790073559
"39",1.32999959368214,1.26343338827885,2.00551443324758,1.25528583714313
"40",1.3387894314185,1.29248241747146,1.6564090692196,1.31266865134851
"41",1.44065598655469,1.33908832928948,1.77700766484714,1.28470980732051
"42",1.36588895847483,1.30462656977964,1.68861466321005,1.31651159159762
"43",1.40329921575422,1.29173497347564,1.80162185675607,1.31887544484479
"44",1.29183277852966,1.23930886563125,1.65420775279256,1.45200842095981
"45",1.40360405724221,1.49529483085317,2.13676708934578,1.2574189427987
"46",1.30923105631905,1.38038804177434,1.98426074191408,1.20544303386048
"47",1.39691356915859,1.41512304862014,1.85116288157179,1.34129384309909
"48",1.4845443126104,1.49068419097937,2.2577200966297,1.37046725892477
"49",1.57315690666474,1.4394227412412,2.03046175580667,1.48482649441437
"50",1.44343926033219,1.28306003150003,1.53247086018753,1.1730751924981
"51",1.33030832263514,1.3077103336599,1.60760214190608,1.1701286919836
"52",1.3239998847423,1.42299625759761,1.69267961603466,1.32628588172506
"53",1.3597021903886,1.29861383889552,1.66508027179641,1.18899040076928
"54",1.82675986251289,1.60044628383962,1.95917111253284,1.27628006610977
"55",1.42830059091285,1.31979781321726,1.7932547825327,1.26404273256079
"56",1.45946808565619,1.38851832217719,1.75736240060291,1.47046172660202
"57",1.34690003394679,1.26708991680936,1.79987273447658,1.28360499692785
"58",1.47773520857227,1.39669803466458,1.70631335979897,1.30941566393682
"59",1.40214795192985,1.29649241798717,1.93316679985566,1.29455740074358
"60",1.43586685520608,1.51330442376996,2.09464596966593,1.3414548678327
"61",1.40298291996,1.5965072329152,2.0816236734692,1.357167072802
"62",1.40538332433699,1.31500778364598,1.67662727303249,1.25969316262058
"63",1.34406609673372,1.29817965210461,1.77812477191227,1.39308725230288
"64",1.35278999120874,1.25840587008366,1.60664767627938,1.1598131637192
"65",1.33966345180448,1.38400520740184,1.56222628310459,1.27509331576751
"66",1.37892553633123,1.3381751336192,1.68904287640124,1.36013386160681
"67",1.39296178888713,1.30505960486722,2.21804661538691,1.34005774317307
"68",1.3725433784478,1.35879925279971,1.7923256897482,1.35704583160116
"69",1.52465186451581,1.21108224525822,1.87389548323488,1.19231823211163
"70",1.51633918695779,1.53149669556309,2.14180969486338,1.44039705443958
"71",1.25398488073141,1.19868106454413,1.53080124846716,1.17476445919212
"72",1.30116972071073,1.28543973071073,2.10286685718944,1.29192239408337
"73",2.62205364350762,1.55482795999337,2.25249351473362,1.63494470101864
"74",1.29373414245494,1.41136840526483,1.46667318789459,1.24422551265025
"75",1.57364680095338,1.58614321000345,1.7655031258277,1.26982190586122
"76",1.32453223778344,1.28356676072751,1.77919382655859,1.24798976466754
"77",1.31721784452495,1.3366640899539,2.22928110789737,1.50315846244225
"78",1.53039137617644,1.53371001411129,1.61402273300058,1.44118311006323
"79",1.30629965327454,1.31134105434299,1.83785784911846,1.35885284315654
"80",1.40574267644177,1.29210125038529,2.00006793139152,1.34753775370189
"81",1.32032402377865,1.38900859880252,1.98356037209891,1.4632762221414
"82",1.41363738067894,1.45637363880267,1.83835354296779,1.34683216109732
"83",1.60173209695772,1.46989189916003,1.96191901584566,1.45843602504901
"84",1.20410797158251,1.25981049267429,1.5190291802044,1.13479979374521
"85",1.33236718181856,1.33550759004592,1.61956063242065,1.18220865592665
"86",1.513753083228,1.29275789473538,2.04450575243994,1.3599894024076
"87",1.70453749715736,1.35018224623871,2.18791799627247,1.30293352463744
"88",1.34771336588532,1.45804427088796,1.68353363183087,1.45144211412633
"89",1.36841159521176,1.42543128671361,2.02174646851818,1.33364050281031
"90",1.27855445545864,1.32864743994676,1.74764003700914,1.29058546141842
"91",1.51797777118202,1.41306562954626,1.86175263136499,1.45990103887818
"92",1.22796544895306,1.28414263372361,1.74161655754456,1.20295691384518
"93",1.60630959977601,1.48397639984779,1.73766952242125,1.42646519660967
"94",1.62380656114286,1.49764595943894,1.86224497164896,1.46869192780803
"95",1.58840311798512,1.42871645718835,1.84431417534029,1.39899368116344
"96",1.53221371629954,1.39679254418838,1.7837452396686,1.27471918791897
"97",1.36767563643691,1.53461120413017,1.84675396646436,1.40978440670982
"98",1.31706935960832,1.30515757763297,1.63983443990257,1.25508163297663
"99",1.66781431082557,1.53120449890574,2.20225434987329,1.31748932175767
"100",1.2277700147756,1.26745080106847,1.62847321980644,1.36493406341651
